Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Braeden Stuart (44252802),Braeden Stuart,44252802,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,JP Donovan (44252806),JP Donovan,44252806,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,Ihsaan Alozie (44252810),Ihsaan Alozie,44252810,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,0,
RB,JR Mosley (44252814),JR Mosley,44252814,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
RB,Marquise Collins (44252818),Marquise Collins,44252818,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
RB,Hudson Higgins (44252822),Hudson Higgins,44252822,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
RB,Drew Patterson (44252826),Drew Patterson,44252826,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,Q
RB,Jayson Moll (44252830),Jayson Moll,44252830,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
RB,Rashad Robinson (44252834),Rashad Robinson,44252834,RB/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,UAB,0,
WR,Jordan Collins (44252887),Jordan Collins,44252887,WR/FLEX/S-FLEX,4000,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,7.4,
WR,Tyler Morris (44252890),Tyler Morris,44252890,WR/FLEX/S-FLEX,3900,NW@IU 09/25/2026 08:00PM ET,IU,2.6,
WR,Hayden Eligon II (44252893),Hayden Eligon II,44252893,WR/FLEX/S-FLEX,3800,NW@IU 09/25/2026 08:00PM ET,NW,1.8,OUT
WR,Cooper Perry (44252896),Cooper Perry,44252896,WR/FLEX/S-FLEX,3700,CLEM@CAL 09/25/2026 10:30PM ET,CAL,6.2,
WR,Christian Bentancur (44252899),Christian Bentancur,44252899,WR/FLEX/S-FLEX,3600,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,4.7,
WR,Luke Dehnicke (44252902),Luke Dehnicke,44252902,WR/FLEX/S-FLEX,3600,NW@IU 09/25/2026 08:00PM ET,NW,5.4,
WR,Drew Wagner (44252906),Drew Wagner,44252906,WR/FLEX/S-FLEX,3500,NW@IU 09/25/2026 08:00PM ET,NW,6.9,
WR,Kyion Grayes (44252911),Kyion Grayes,44252911,WR/FLEX/S-FLEX,3500,CLEM@CAL 09/25/2026 10:30PM ET,CAL,10.1,
WR,Luke Hutchison (44252915),Luke Hutchison,44252915,WR/FLEX/S-FLEX,3400,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,1.9,
WR,Olsen Patt-Henry (44252919),Olsen Patt-Henry,44252919,WR/FLEX/S-FLEX,3400,CLEM@CAL 09/25/2026 10:30PM ET,CLEM,2.8,
WR,Shazz Preston (44252924),Shazz Preston,44252924,WR/FLEX/S-FLEX,3400,NW@IU 09/25/2026 08:00PM ET,IU,6.4,
WR,Jordan King (44252955),Jordan King,44252955,WR/FLEX/S-FLEX,3400,CLEM@CAL 09/25/2026 10:30PM ET,CAL,5.7,
WR,Joshua Guerin (44252960),Joshua Guerin,44252960,WR/FLEX/S-FLEX,3400,NAVY@UAB 09/25/2026 07:00PM ET,NAVY,1,
