Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
11,Cristopher Sanchez (42926487),Brandon Williamson (42926496),Gary Sanchez (42926585),Bryce Harper (42926536),Brandon Lowe (42926515),Nolan Arenado (42926583),Elly De La Cruz (42926502),Kyle Schwarber (42926509),Lourdes Gurriel Jr. (42926589),Victor Scott II (42926683),49800,121.80,29.58
12,Cristopher Sanchez (42926487),Bubba Chandler (42926492),Joey Bart (42926634),Bryce Harper (42926536),Brandon Lowe (42926515),Nolan Arenado (42926583),Elly De La Cruz (42926502),JJ Bleday (42926562),Brandon Marsh (42926574),Lourdes Gurriel Jr. (42926589),49600,127.23,26.91
13,Bubba Chandler (42926492),Brandon Williamson (42926496),William Contreras (42926544),TJ Rumfield (42926604),Brandon Lowe (42926515),Nolan Arenado (42926583),Elly De La Cruz (42926502),Kyle Schwarber (42926509),Bryan Reynolds (42926529),JJ Bleday (42926562),50000,124.44,28.12
14,Bubba Chandler (42926492),Brandon Williamson (42926496),William Contreras (42926544),Sal Stewart (42926512),Brandon Lowe (42926515),Bo Bichette (42926563),Trea Turner (42926535),Kyle Schwarber (42926509),JJ Bleday (42926562),Lourdes Gurriel Jr. (42926589),49500,118.33,27.73
15,Bubba Chandler (42926492),Brandon Williamson (42926496),William Contreras (42926544),Sal Stewart (42926512),Ildemaro Vargas (42926549),Nolan Arenado (42926583),Trea Turner (42926535),Juan Soto (42926506),Kyle Schwarber (42926509),Spencer Steer (42926624),49700,114.60,26.94
16,Tarik Skubal (42926486),Bubba Chandler (42926492),William Contreras (42926544),Nathaniel Lowe (42926663),Matt McLain (42926595),Nolan Arenado (42926583),Trea Turner (42926535),Kyle Schwarber (42926509),Bryan Reynolds (42926529),Lourdes Gurriel Jr. (42926589),49100,115.60,27.79
17,Tarik Skubal (42926486),Bubba Chandler (42926492),William Contreras (42926544),Nathaniel Lowe (42926663),Ildemaro Vargas (42926549),Nolan Arenado (42926583),Elly De La Cruz (42926502),Kyle Schwarber (42926509),Brenton Doyle (42926606),Spencer Steer (42926624),49900,118.36,20.94
18,Tarik Skubal (42926486),Bubba Chandler (42926492),Joey Bart (42926634),Nathaniel Lowe (42926663),Ketel Marte (42926508),Bo Bichette (42926563),Trea Turner (42926535),Kyle Schwarber (42926509),Bryan Reynolds (42926529),Spencer Steer (42926624),50000,111.50,25.71
19,Tarik Skubal (42926486),Bubba Chandler (42926492),Joey Bart (42926634),Sal Stewart (42926512),Matt McLain (42926595),Bo Bichette (42926563),Trea Turner (42926535),Bryan Reynolds (42926529),Lourdes Gurriel Jr. (42926589),Adolis Garcia (42926621),48400,108.98,24.07
20,Tarik Skubal (42926486),Bubba Chandler (42926492),Gary Sanchez (42926585),Nathaniel Lowe (42926663),Matt McLain (42926595),Bo Bichette (42926563),Trea Turner (42926535),Corbin Carroll (42926504),Bryan Reynolds (42926529),Brandon Marsh (42926574),49200,116.29,22.44
