Lineup,P1,P2,C,1B,2B,3B,SS,OF1,OF2,OF3,Salary,Projection,Leverage
11,Jacob deGrom (43118119),Michael Soroka (43118128),Sandy Leon (43118489),Matt Olson (43118159),Ozzie Albies (43118192),Austin Riley (43118204),Gunnar Henderson (43118164),Kyle Stowers (43118260),Leody Taveras (43118295),Dominic Smith (43118258),49600,212.21,114.84
12,Jacob deGrom (43118119),Michael Soroka (43118128),Adley Rutschman (43118191),Liam Hicks (43118170),Ozzie Albies (43118192),Austin Riley (43118204),Ha-Seong Kim (43118374),Kyle Stowers (43118260),Mauricio Dubon (43118269),Dominic Smith (43118258),49600,212.42,114.69
13,Kevin Gausman (43118126),Grayson Rodriguez (43118135),Liam Hicks (43118170),Matt Olson (43118159),Xavier Edwards (43118182),Austin Riley (43118204),Ha-Seong Kim (43118374),Michael Harris II (43118251),Kyle Stowers (43118260),Dominic Smith (43118258),48600,213.49,133.00
14,Kevin Gausman (43118126),Grayson Rodriguez (43118135),Adley Rutschman (43118191),Liam Hicks (43118170),Xavier Edwards (43118182),Austin Riley (43118204),Ha-Seong Kim (43118374),Ronald Acuna Jr. (43118153),Mauricio Dubon (43118269),Dominic Smith (43118258),49500,195.70,119.12
15,Kevin Gausman (43118126),Grayson Rodriguez (43118135),Sandy Leon (43118489),Liam Hicks (43118170),Xavier Edwards (43118182),Austin Riley (43118204),Gunnar Henderson (43118164),Ronald Acuna Jr. (43118153),Michael Harris II (43118251),Dominic Smith (43118258),49600,188.67,112.80
16,Kevin Gausman (43118126),Grayson Rodriguez (43118135),Sandy Leon (43118489),Vladimir Guerrero Jr. (43118178),Xavier Edwards (43118182),Connor Norby (43118317),Gunnar Henderson (43118164),Ronald Acuna Jr. (43118153),Michael Harris II (43118251),Mauricio Dubon (43118269),48200,173.54,98.45
17,Kevin Gausman (43118126),Grayson Rodriguez (43118135),Sandy Leon (43118489),Liam Hicks (43118170),Jackson Holliday (43118263),Connor Norby (43118317),Gunnar Henderson (43118164),Ronald Acuna Jr. (43118153),Michael Harris II (43118251),Daulton Varsho (43118257),47500,161.80,88.53
18,Kevin Gausman (43118126),Grayson Rodriguez (43118135),Adley Rutschman (43118191),Liam Hicks (43118170),Xavier Edwards (43118182),Connor Norby (43118317),Gunnar Henderson (43118164),Michael Harris II (43118251),Daulton Varsho (43118257),Mauricio Dubon (43118269),48900,167.16,86.44
19,Kevin Gausman (43118126),Grayson Rodriguez (43118135),Adley Rutschman (43118191),Connor Norby (43118317),Xavier Edwards (43118182),Coby Mayo (43118306),Gunnar Henderson (43118164),Ronald Acuna Jr. (43118153),Michael Harris II (43118251),Lourdes Gurriel Jr. (43118312),48700,161.53,83.37
20,Trevor McDonald (43118130),Grayson Rodriguez (43118135),Sandy Leon (43118489),Pete Alonso (43118162),Xavier Edwards (43118182),Connor Norby (43118317),Gunnar Henderson (43118164),Ronald Acuna Jr. (43118153),Michael Harris II (43118251),Kyle Stowers (43118260),48200,170.89,92.05
